T(K)	P(bar)	rho_kgm3	VP_kms	VS_kms	Cp_Jm3K	alpha_pK	KS_bar	GS_bar
800	1000	2928.63	7.01002	3.8221	3261230	2.0533e-05	868702	427829
800	2256.41	2933.52	7.03011	3.82694	3266050	2.03509e-05	876981	429629
800	3512.82	2938.54	7.05042	3.83199	3271020	2.01721e-05	885369	431499
800	4769.23	2943.73	7.07108	3.83733	3276190	1.99963e-05	893916	433467
800	6025.64	3013.58	7.19688	3.9444	3355280	2.11714e-05	935739	468861
800	7282.05	3174.24	7.59728	4.21456	3539150	2.30738e-05	1080360	563825
800	8538.46	3302.38	7.86836	4.44635	3682250	2.57963e-05	1174030	652880
800	9794.87	3455.63	8.26162	4.7613	3853850	2.79996e-05	1314090	783391
800	11051.3	3513.67	8.43099	4.89404	3916720	2.84121e-05	1375460	841584
800	12307.7	3523.62	8.4671	4.91483	3926330	2.81336e-05	1391280	851151
800	13564.1	3529.31	8.48696	4.92481	3931620	2.79555e-05	1400790	855992
800	14820.5	3532.72	8.49807	4.92917	3934610	2.78346e-05	1406780	858336
800	16076.9	3536.1	8.50905	4.93349	3937580	2.77155e-05	1412730	860664
800	17333.3	3539.46	8.51989	4.93769	3940520	2.75974e-05	1418640	862948
800	18589.7	3542.79	8.53064	4.94186	3943440	2.74809e-05	1424530	865220
800	19846.2	3546.1	8.54131	4.946	3946350	2.73659e-05	1430380	867481
800	21102.6	3549.4	8.55187	4.95008	3949240	2.7252e-05	1436210	869717
800	22359	3552.67	8.56235	4.95407	3952100	2.7139e-05	1442030	871924
800	23615.4	3555.93	8.57278	4.95809	3954970	2.70277e-05	1447820	874144
800	24871.8	3559.18	8.58314	4.96207	3957820	2.69175e-05	1453600	876345
800	26128.2	3562.41	8.59342	4.96599	3960650	2.68082e-05	1459360	878526
800	27384.6	3565.63	8.60367	4.96991	3963480	2.67002e-05	1465110	880710
800	28641	3568.83	8.61385	4.97378	3966290	2.65931e-05	1470850	882874
800	29897.4	3572.02	8.62396	4.9776	3969090	2.64869e-05	1476580	885022
800	31153.8	3576.31	8.64078	4.98484	3973010	2.63198e-05	1485300	888664
800	32410.3	3581.37	8.66237	4.99432	3977700	2.61065e-05	1496260	893311
800	33666.7	3586.34	8.68349	5.00338	3982310	2.58957e-05	1507150	897799
800	34923.1	3591.23	8.70422	5.01209	3986840	2.56869e-05	1517970	902155
800	36179.5	3596.09	8.72484	5.02052	3991330	2.54766e-05	1528890	906419
800	37435.9	3600.88	8.74506	5.02862	3995740	2.52687e-05	1539740	910555
800	38692.3	3605.63	8.76514	5.03649	4000130	2.50605e-05	1550640	914610
800	39948.7	3610.34	8.78512	5.04413	4004480	2.48516e-05	1561620	918589
800	41205.1	3615.03	8.80498	5.05157	4008810	2.46423e-05	1572660	922498
800	42461.5	3619.71	8.82484	5.05884	4013120	2.44315e-05	1583810	926353
800	43717.9	3624.41	8.84493	5.06604	4017460	2.42164e-05	1595220	930195
800	44974.4	3629.04	8.86456	5.07293	4021730	2.40056e-05	1606480	933920
800	46230.8	3633.68	8.88438	5.07975	4026020	2.37912e-05	1617970	937628
800	47487.2	3638.33	8.90431	5.08646	4030320	2.35744e-05	1629630	941311
800	48743.6	3642.95	8.92408	5.09299	4034590	2.33585e-05	1641310	944926
800	50000	3647.55	8.94376	5.09937	4038850	2.31428e-05	1653050	948490
835.897	1000	2926.51	6.9958	3.81191	3272990	2.07277e-05	865283	425240
835.897	2256.41	2931.41	7.01593	3.81675	3277850	2.05434e-05	873555	427036
835.897	3512.82	2936.43	7.03624	3.82179	3282850	2.03628e-05	881922	428897
835.897	4769.23	2941.61	7.05685	3.8271	3288030	2.01858e-05	890429	430849
835.897	6025.64	3011.39	7.18181	3.93447	3367950	2.13854e-05	931675	466164
835.897	7282.05	3109.32	7.46069	4.09163	3481900	2.17494e-05	1036650	520544
835.897	8538.46	3226.3	7.70604	4.30081	3614830	2.4178e-05	1120190	596768
835.897	9794.87	3337.99	7.9523	4.50746	3741100	2.64093e-05	1206660	678186
835.897	11051.3	3509.87	8.41526	4.88122	3934840	2.86532e-05	1370540	836271
835.897	12307.7	3520.43	8.45373	4.9034	3945120	2.83565e-05	1387330	846427
835.897	13564.1	3525.16	8.47004	4.91105	3949480	2.82007e-05	1395390	850214
835.897	14820.5	3528.64	8.48151	4.91564	3952570	2.80774e-05	1401500	852643
835.897	16076.9	3532.08	8.49277	4.9201	3955620	2.79557e-05	1407560	855023
835.897	17333.3	3535.49	8.50388	4.92448	3958640	2.78358e-05	1413560	857373
835.897	18589.7	3538.86	8.51484	4.92877	3961630	2.77172e-05	1419510	859688
835.897	19846.2	3542.21	8.52569	4.93301	3964600	2.76002e-05	1425430	861982
835.897	21102.6	3545.54	8.53642	4.93717	3967550	2.74843e-05	1431320	864247
835.897	22359	3548.84	8.54706	4.9413	3970480	2.737e-05	1437170	866502
835.897	23615.4	3552.13	8.55761	4.94536	3973390	2.72568e-05	1443010	868731
835.897	24871.8	3555.4	8.56809	4.94941	3976290	2.7145e-05	1448820	870956
835.897	26128.2	3558.65	8.57848	4.9534	3979170	2.70341e-05	1454610	873155
835.897	27384.6	3561.89	8.58882	4.95737	3982040	2.69246e-05	1460390	875352
