T(K)	P(bar)	rho_kgm3	VP_kms	VS_kms	Cp_Jm3K	alpha_pK	KS_bar	GS_bar
800	1000	3127.52	6.97956	3.85952	3397260	2.43434e-05	902383	465872
800	2256.41	3133.05	7.00002	3.86522	3402380	2.41113e-05	911102	468075
800	3512.82	3138.85	7.02097	3.87134	3407800	2.38848e-05	920028	470428
800	4769.23	3145.05	7.04261	3.87803	3413650	2.36641e-05	929244	472988
800	6025.64	3362.66	7.56162	4.23577	3657520	2.58399e-05	1118280	603320
800	7282.05	3367.27	7.57837	4.24128	3661890	2.56939e-05	1126260	605720
800	8538.46	3581.73	8.14171	4.64436	3899380	2.86183e-05	1344130	772583
800	9794.87	3601.26	8.21115	4.68399	3919090	2.8406e-05	1374600	790107
800	11051.3	3605.46	8.22639	4.69018	3922770	2.82374e-05	1382450	793123
800	12307.7	3609.69	8.24187	4.69647	3926490	2.80671e-05	1390430	796184
800	13564.1	3614.21	8.25901	4.70355	3930490	2.78812e-05	1399180	799585
800	14820.5	3618.29	8.27371	4.70937	3934070	2.77189e-05	1406920	802469
800	16076.9	3622.65	8.29003	4.71595	3937920	2.75414e-05	1415410	805684
800	17333.3	3627.07	8.30673	4.72268	3941830	2.73606e-05	1424120	808969
800	18589.7	3631.55	8.32386	4.72956	3945810	2.71757e-05	1433070	812334
800	19846.2	3636.1	8.34137	4.73658	3949850	2.69873e-05	1442250	815766
800	21102.6	3640.7	8.35928	4.74371	3953960	2.67946e-05	1451690	819261
800	22359	3645.38	8.37766	4.751	3958130	2.65974e-05	1461400	822837
800	23615.4	3650.12	8.39642	4.75837	3962370	2.63956e-05	1471380	826463
800	24871.8	3654.92	8.41564	4.76588	3966680	2.61893e-05	1481640	830167
800	26128.2	3659.79	8.4353	4.77347	3971050	2.59776e-05	1492200	833921
800	27384.6	3664.71	8.45532	4.78111	3975470	2.57617e-05	1503030	837719
800	28641	3669.71	8.47582	4.78887	3979970	2.55402e-05	1514190	841584
800	29897.4	3674.72	8.49652	4.79657	3984490	2.53157e-05	1525550	845448
800	31153.8	3679.77	8.51742	4.80429	3989040	2.50891e-05	1537100	849333
800	32410.3	3684.88	8.53882	4.81202	3993660	2.48555e-05	1549020	853255
800	33666.7	3689.74	8.55875	4.81913	3998040	2.46383e-05	1560270	856904
800	34923.1	3692.85	8.56791	4.8222	4000730	2.45433e-05	1565920	858722
800	36179.5	3695.9	8.57688	4.825	4003370	2.44473e-05	1571570	860430
800	37435.9	3699.03	8.58613	4.8283	4006090	2.43557e-05	1577200	862337
800	38692.3	3702.11	8.59518	4.83132	4008760	2.42631e-05	1582830	864135
800	39948.7	3705.17	8.60417	4.83428	4011420	2.41709e-05	1588460	865906
800	41205.1	3708.23	8.61316	4.83728	4014080	2.40801e-05	1594070	867700
800	42461.5	3711.28	8.6221	4.84025	4016720	2.39899e-05	1599680	869480
800	43717.9	3714.32	8.63101	4.84319	4019370	2.39004e-05	1605290	871250
800	44974.4	3717.35	8.63988	4.84613	4022000	2.38118e-05	1610890	873018
800	46230.8	3720.38	8.64872	4.84903	4024630	2.37238e-05	1616480	874776
800	47487.2	3723.39	8.65753	4.85193	4027250	2.36366e-05	1622070	876534
800	48743.6	3726.4	8.66629	4.85481	4029870	2.355e-05	1627660	878280
